# シャープで始まる行はコメント行
# データでは、,と文字の間にスペースを入れない

# event_name, K_pt(+/-), n, J_pt(+/-), n
# 記述例
# 勉強日, -, 100, +, 0
# ゲームをして1日過ごす, -, 10, +, 10

初日をだらだらと過ごす,+,0,-,0
最初なのでやる気を出して勉強,-,100,+,5
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
test,-,10,+,10
